Marca,Modelo,Imagen,Consumo_en_modo_encendido_en_el_rango_dinámico_normal_SDR,Clase_de_eficiencia_energetica_en_el_modo_de_alto_rango_dinamico_HDR,Consumo_en_modo_encendido_para_el_alto_rango_dinámico_HDR,Tipo
 Samsung , HG43AU800EA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 72, G, 103, Televisión
 Samsung , UE75BU8575U ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 156, G, 235, Televisión
 Samsung , UE75BU8072K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 156, G, 235, Televisión
 Samsung , UE85BU8070U ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 186, G, 289, Televisión
 Samsung , UE85BU8072U ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 186, G, 289, Televisión
 Samsung , UE60BU8000K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 110, G, 172, Televisión
 Samsung , HG55AU800EA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 90, G, 133, Televisión
 TELEFUNKEN , 32HG8450 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 32, F, 32, Televisión
 TELEFUNKEN , 40FG8450 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 45, F, 45, Televisión
 NAVON , N32HDS120 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 32, G, 45, Televisión
