Brand,Model,Imagen,Contenido,Contenido1,Contenido2,Contenido10,Contenido11,Contenido12
 FABER                                                                                      , 110.0332.312 P0222                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 123,6", kWh/año ,Ruido, 65, dB 
 FABER                                                                                      , 110.0255.505 P0940                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 100,5", kWh/año ,Ruido, 65, dB 
 FABER                                                                                      , 110.0332.286 P0228                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 94,1", kWh/año ,Ruido, 61, dB 
 FABER                                                                                      , 110.0332.311 P0222                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 123,6", kWh/año ,Ruido, 65, dB 
 FABER                                                                                      , 110.0261.789 P0221                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 124,1", kWh/año ,Ruido, 67, dB 
 FABER                                                                                      , 110.0332.289 P0229                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 95,7", kWh/año ,Ruido, 67, dB 
 FABER                                                                                      , 110.0332.308 P1299                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 99,4", kWh/año ,Ruido, 68, dB 
 FABER                                                                                      , 110.0332.310 P0222                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 123,6", kWh/año ,Ruido, 65, dB 
 FABER                                                                                      , 110.0261.891 P1577                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 70,9", kWh/año ,Ruido, 64, dB 
 NEW AIR                                                                                    , 110.0156.659                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 74,3", kWh/año ,Ruido, 67, dB 
 FRANKE                                                                                     , 110.0338.358                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png,Consumo anual de energía," 43,8", kWh/año ,Ruido, 67, dB 
 FRANKE                                                                                     , 110.0338.340                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png,Consumo anual de energía," 43,8", kWh/año ,Ruido, 67, dB 
 FRANKE                                                                                     , 110.0338.357                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png,Consumo anual de energía," 43,8", kWh/año ,Ruido, 67, dB 
 FRANKE                                                                                     , 110.0378.762                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 54,2", kWh/año ,Ruido, 65, dB 
 FRANKE                                                                                     , 110.0377.749                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 56,8", kWh/año ,Ruido, 63, dB 
 FRANKE                                                                                     , 110.0378.749                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 54,2", kWh/año ,Ruido, 65, dB 
 FRANKE                                                                                     , 110.0374.837                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 54,2", kWh/año ,Ruido, 65, dB 
 FRANKE                                                                                     , 110.0378.710                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 56,8", kWh/año ,Ruido, 63, dB 
 FRANKE                                                                                     , 110.0338.359                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 54,6", kWh/año ,Ruido, 67, dB 
