Type,Title,eclrow2,Content,eclrow5,Content6,Image
 Heliosventilatoren GmbH + Co KG , KWL  300 W L ,Annual Electricity Consumption," 4,1",Maximum flow rate, 275,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Heliosventilatoren GmbH + Co KG , KWL  500 W L ,Annual Electricity Consumption," 3,8",Maximum flow rate, 490,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Heliosventilatoren GmbH + Co KG , KWL  220 D L ,Annual Electricity Consumption," 3,1",Maximum flow rate, 216,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Heliosventilatoren GmbH + Co KG , KWL  340 D R ,Annual Electricity Consumption," 3,1",Maximum flow rate, 355,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Heliosventilatoren GmbH + Co KG , KWL  360 W ET ,Annual Electricity Consumption," 1,9",Maximum flow rate, 360,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Heliosventilatoren GmbH + Co KG , KWL  170 W ,Annual Electricity Consumption," 2,9",Maximum flow rate, 184,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Helios Ventilatoren GmbH + Co KG , KWL  200 W R ,Annual Electricity Consumption," 3,3",Maximum flow rate, 166,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Helios Ventilatoren GmbH + Co KG , KWL  200 W ET L ,Annual Electricity Consumption," 3,5",Maximum flow rate, 193,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Heliosventilatoren GmbH + Co KG , KWL  220 D R ,Annual Electricity Consumption," 3,1",Maximum flow rate, 216,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Helios Ventilatoren GmbH + Co KG , KWL  200 W ET R ,Annual Electricity Consumption," 3,5",Maximum flow rate, 193,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Heliosventilatoren GmbH + Co KG , KWL  170 W ET ,Annual Electricity Consumption, 3,Maximum flow rate, 180,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Heliosventilatoren GmbH + Co KG , KWL  300 W ET L ,Annual Electricity Consumption," 4,4",Maximum flow rate, 306,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Heliosventilatoren GmbH + Co KG , KWL  300 W ET R ,Annual Electricity Consumption," 4,4",Maximum flow rate, 306,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Heliosventilatoren GmbH + Co KG , KWL  500 W ET L ,Annual Electricity Consumption," 4,2",Maximum flow rate, 518,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Heliosventilatoren GmbH + Co KG , KWL  500 W ET R ,Annual Electricity Consumption," 4,2",Maximum flow rate, 518,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 FRAPOL Sp. z o.o. , OnyX Premium 750 ,Annual Electricity Consumption, 318,Maximum flow rate, 808,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 OXYGEN , X-Air V500 ,Annual Electricity Consumption," 1,6",Maximum flow rate, 500,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 OXYGEN , X-Air V600 ,Annual Electricity Consumption," 2,1",Maximum flow rate, 568,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 OXYGEN , X-Air V400 ,Annual Electricity Consumption," 1,2",Maximum flow rate, 400,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Ventomatic NV , VentoAir 520 CC ,Annual Electricity Consumption, 329,Maximum flow rate, 520,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Ventomatic NV , VentoAir 450 MC ,Annual Electricity Consumption, 332,Maximum flow rate, 450,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 GENVEX ," ECO275 V, LIGHT ",Annual Electricity Consumption, 253,Maximum flow rate, 430,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Energy Smart , ENY-SP-600 ,Annual Electricity Consumption, 269,Maximum flow rate, 600,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Blauberg , VENTO Expert DUO A30-1 S10 W v.2 ,Annual Electricity Consumption, 200,Maximum flow rate, 30,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Blauberg , VENTO Eco A50 S10 Pro ,Annual Electricity Consumption, 197,Maximum flow rate, 35,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 GENVEX ," ECO275 H, LIGHT ",Annual Electricity Consumption, 253,Maximum flow rate, 430,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
