Type,Title,eclrow15,Content16,eclrow11,Content12,Image
 HAJDU , S100 ,Annual fuel consumption, -,Annual electricity consumption , 2 805,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , AQ 100 ,Annual fuel consumption, -,Annual electricity consumption , 2 806,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , Z120ErP ,Annual fuel consumption, -,Annual electricity consumption , 2 720,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , AQ120 ErP ,Annual fuel consumption, -,Annual electricity consumption , 2 805,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , ZV150 ErP ,Annual fuel consumption, -,Annual electricity consumption , 2 724,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , AQ200 ErP ,Annual fuel consumption, -,Annual electricity consumption , 2 806,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , AF-30-18-1 ,Annual fuel consumption, -,Annual electricity consumption , 585,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , SC100 ,Annual fuel consumption, -,Annual electricity consumption , 2 805,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , SC100H ,Annual fuel consumption, -,Annual electricity consumption , 2 805,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , LC150 B ,Annual fuel consumption, -,Annual electricity consumption , 1 435,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 WELCOME , 871230 ,Annual fuel consumption, -,Annual electricity consumption , 1 424,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 WELCOME , 881208 ,Annual fuel consumption, -,Annual electricity consumption , 2 659,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , GCV 804420 B12 TSRV (TIN: 305026) ,Annual fuel consumption, -,Annual electricity consumption , 2 755,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , GCV 1204420 B12 TSRV (TIN: 305028) ,Annual fuel consumption, -,Annual electricity consumption , 4 400,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , GCV 303512 B12 TSRV (TIN: 305024) ,Annual fuel consumption, -,Annual electricity consumption , 571,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , GCV 1504420 B12 TSRV (TIN: 305029) ,Annual fuel consumption, -,Annual electricity consumption , 4 397,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , GCV 504420 B12 TSRV (TIN: 305025) ,Annual fuel consumption, -,Annual electricity consumption , 1 421,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , GCV 1004420 B12 TSRV (TIN: 305027) ,Annual fuel consumption, -,Annual electricity consumption , 2 760,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Lamborghini Caloreclima , SI ECO F 17 ,Annual fuel consumption, 18,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 STIEBEL ELTRON , SHC 15 ,Annual fuel consumption, -,Annual electricity consumption , 516,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 SPECTRA , SV08044 ,Annual fuel consumption, -,Annual electricity consumption , 1 412,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 SPECTRA , SV10044 ,Annual fuel consumption, -,Annual electricity consumption , 1 383,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 SPECTRA , SV05044 ,Annual fuel consumption, -,Annual electricity consumption , 1 381,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Junkers , 7736504448 ,Annual fuel consumption, 12,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Junkers , 7736504447 ,Annual fuel consumption, 12,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Neckar , 7736505497 ,Annual fuel consumption, 6,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vulcano , 7736505552 ,Annual fuel consumption, 12,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vulcano , 7736504445 ,Annual fuel consumption, 12,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
