Type,Title,eclrow,Content,eclrow3,eclrow4,eclrow5,Content6,Image
 ES CALOR , IZAR 15 ,Direct heat output," 14,7",Indirect heat output, -,Energy Efficiency Index, 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Edilkamin , Nara2 Plus ,Direct heat output," 9,2",Indirect heat output, -,Energy Efficiency Index, 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FERLUX , NEREA 12 ,Direct heat output," 12,5",Indirect heat output, -,Energy Efficiency Index, 126,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 ES CALOR , FRIDA 12 ,Direct heat output," 12,5",Indirect heat output, -,Energy Efficiency Index, 126,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FERLUX , IRIS 12 ,Direct heat output," 12,5",Indirect heat output, -,Energy Efficiency Index, 126,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FERLUX , LYRA 12 ,Direct heat output," 12,5",Indirect heat output, -,Energy Efficiency Index, 126,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 TJ CALEFACCIÓN  , VERA 15 ,Direct heat output," 14,7",Indirect heat output, -,Energy Efficiency Index, 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 ES CALOR , FRIDA 15 ,Direct heat output," 14,7",Indirect heat output, -,Energy Efficiency Index, 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FERLUX , ESTELA 15 ,Direct heat output," 14,7",Indirect heat output, -,Energy Efficiency Index, 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FERLUX , NEREA 15 ,Direct heat output," 14,7",Indirect heat output, -,Energy Efficiency Index, 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PALAZZETTI , ECOMONOBLOCCO WT 16:9 3D N12 ,Direct heat output," 12,5",Indirect heat output, -,Energy Efficiency Index, 113,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PALAZZETTI , ECOMONOBLOCCO WT 16:9 3D V12 ,Direct heat output," 12,5",Indirect heat output, -,Energy Efficiency Index, 113,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 L'ARTISTICO SRL , MARLIN 1000 ,Direct heat output, 9,Indirect heat output, 18,Energy Efficiency Index, 117,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 JØTUL , PF 733 ,Direct heat output," 8,2",Indirect heat output, -,Energy Efficiency Index, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
