Type,Title,eclrow,Content,eclrow2,eclrow3,eclrow5,eclrow6,eclrow7,eclrow8,eclrow9,eclrow10,Image
 Electrolux Professional , EC7R2BL 9VTX715062 ,Annual energy consumption, 606, kWh/annum ,Volume (Chilled), 109, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EHR4BR 9VTX715117 ,Annual energy consumption, 870, kWh/annum ,Volume (Chilled), 304, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EC7R3BL 9VTX715049 ,Annual energy consumption, 793, kWh/annum ,Volume (Chilled), 186, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Zanussi Professional , ZHR4BL 9VTX715082 ,Annual energy consumption, 883, kWh/annum ,Volume (Chilled), 273, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Electrolux Professional , EHF2BR 9VTX715161 ,Annual energy consumption, 1 564, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 198,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Alpeninox , AC6R3BL 9VTX715029 ,Annual energy consumption, 755, kWh/annum ,Volume (Chilled), 148, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Electrolux Professional , EHR3BLR 9VTX715088 ,Annual energy consumption, 800, kWh/annum ,Volume (Chilled), 186, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Electrolux Professional , EHR4BL 9VTX715069 ,Annual energy consumption, 1 005, kWh/annum ,Volume (Chilled), 274, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Electrolux Professional , EHR4BR 9VTX714193 ,Annual energy consumption, 1 005, kWh/annum ,Volume (Chilled), 243, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Electrolux Professional , EC7R4BL 9VTX714204 ,Annual energy consumption, 1 020, kWh/annum ,Volume (Chilled), 333, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Zanussi Professional , ZHR3BR 9VTX715034 ,Annual energy consumption, 800, kWh/annum ,Volume (Chilled), 186, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Electrolux Professional , EHR4BL 9VTX715085 ,Annual energy consumption, 1 005, kWh/annum ,Volume (Chilled), 264, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Zanussi Professional , ZHF2BL 9VTX715093 ,Annual energy consumption, 1 564, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 198,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Alpeninox , AC7R4BR 9VTX715102 ,Annual energy consumption, 1 020, kWh/annum ,Volume (Chilled), 305, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Electrolux Professional , EHR3BR 9VTX715110 ,Annual energy consumption, 800, kWh/annum ,Volume (Chilled), 186, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Zanussi Professional , ZHR3BL 9VTX715113 ,Annual energy consumption, 800, kWh/annum ,Volume (Chilled), 214, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Alpeninox , AC6F2BL 9VTX715094 ,Annual energy consumption, 2 050, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 109,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow.png
 Electrolux Professional , EBLF3BR 9VTX714961 ,Annual energy consumption, 2 500, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 187,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow.png
 Electrolux Professional , EHF2BL 9VTX715112 ,Annual energy consumption, 2 190, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 149,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow.png
 Electrolux Professional , EHF3BR 9VTX715060 ,Annual energy consumption, 2 500, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 227,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow.png
 Electrolux Professional , EHF3BL 9VTX715106 ,Annual energy consumption, 2 242, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 310,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow.png
 Electrolux Professional , EHF3BL 9VTX715104 ,Annual energy consumption, 2 700, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 211,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange.png
 Electrolux Professional , EHF3BL 9VTX715114 ,Annual energy consumption, 2 700, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 181,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange.png
 Electrolux Professional , EHF3BL 9VTX715115 ,Annual energy consumption, 2 700, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 211,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange.png
 Electrolux Professional , EC7R3BR 9VTX713581 ,Annual energy consumption, 610, kWh/annum ,Volume (Chilled), 271, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png
 Electrolux Professional , EC7R3BL 9VTX713844 ,Annual energy consumption, 610, kWh/annum ,Volume (Chilled), 271, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png
 Electrolux Professional , EC7R2BL 9VTX715141 ,Annual energy consumption, 525, kWh/annum ,Volume (Chilled), 130, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png
