Type,Title,eclrow,eclrow1,eclrow2,Content,eclrow4,Image,eclrow5,eclrow7,eclrow8
 Blauberg , Vento Eco2 A50 S Pro ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 177, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 50, m3/h 
 Blauberg , Vento Eco2 A50 S1 Pro1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 177, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 50, m3/h 
 Blauberg , Vento Eco2 A50-4 Pro ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 162, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 50, m3/h 
 Blauberg , Vento Ergo A25-1 S Pro ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 380, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 13, m3/h 
 Blauberg , Vento Ergo A50 Pro1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 226, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 25, m3/h 
 Blauberg , Vento Ergo A85 Pro1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 161, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 43, m3/h 
 Blauberg , Vento Ergo A85 S Pro ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 161, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 43, m3/h 
 Blauberg , Vento Ergo A85-1 S Pro1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 161, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 43, m3/h 
 Blauberg , Vento Expert A50-1 Pro3 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 106, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 25, m3/h 
 Blauberg , Vento Expert Duo A30-1 S Pro ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 134, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 30, m3/h 
 Vents , Solo RA1-35-9 P ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 125, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 35, m3/h 
 Vents , TwinFresh Comfo RA-25 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 380, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 12, m3/h 
 Vents , TwinFresh Comfo RB-85 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 161, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 43, m3/h 
 Vents , TwinFresh Easy RL-50-7 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 225, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 25, m3/h 
 Blauberg , Vento Eco A50 S1 Pro1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 197, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 25, m3/h 
 Blauberg , Vento Ergo A50-1 S Pro1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 226, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 25, m3/h 
 Blauberg , Vento Ergo A85-1 S Pro ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 161, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 43, m3/h 
