Brand,Model,Imagen,Consumo_energético_por_ciclo_Modo_convencional__kWh_ciclo,Consumo_energético_por_ciclo_Modocirculacion_forzada__kWh_ciclo,Consumo_energético_por_ciclo_Modo_convencional_GAS__MJ_ciclo,Consumo_energético_por_ciclo_Modo_circulación_forzada_GAS__MJ_ciclo
 Falcon , CDL110EIRP/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , CDL90DFOG/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , CDL90EIRP/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 UNITED , UFG-60300 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,87"," 0,78", -, -
 Voss , ELK13032HV 947942054 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,95"," 0,82", -, -
 Bosch , HBA64B126F ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,9"," 0,7", -, -
 FLAVEL , FSBE50S 7787286302 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,76", -, -, -
 Bosch , HBA13B253B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,82", -, -
 Bosch , HBA64B056F ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,9"," 0,7", -, -
 Bosch , HBA64B156F ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,9"," 0,7", -, -
 Bosch , HBA64B166F ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,9"," 0,7", -, -
 SMEG , CS19A-7 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png," 1,21"," 1,05"," 4,36"," 3,78"
 WHIRLPOOL , AKZ 483/IX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,87"," 0,78", -, -
 Bosch , HBM53R550B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png," 0,79", -, -, -
 Bosch , HBM56B551B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png," 0,79", -, -, -
 WHIRLPOOL , AKZM 781/IX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,91"," 0,7", -, -
 Electrolux , EEB4433POX 944184315 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,81", -, -
 Electrolux , EOB3400AAX 949716233 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,93"," 0,81", -, -
 Bosch , HBG13B550B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,82", -, -
 SMEG , CP60X9 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,09"," 0,8"," 3,92"," 2,88"
 Siemens , HB55MB551B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png," 0,79", -, -, -
 Siemens , HB43AB521B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,9"," 0,82", -, -
 Bosch , HBN53R550B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png," 0,79", -, -, -
 Bosch , HBA13B150B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,84", -, -
 Siemens , HB13AB523B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,82", -, -
 Bosch , HBM13B550B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png," 0,79", -, -, -
 Siemens , HB64AB521F ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,9"," 0,7", -, -
 Bosch , HBA23B150B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,93"," 0,84", -, -
 ATLANTIC , CU5050MIX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,71", -, -, -
 Bosch , HBM43B150B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png," 0,79", -, -, -
 Bosch , HBA74R251E ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,9"," 0,7", -, -
 Bosch , HBA74B250E ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,9"," 0,7", -, -
 Siemens , HB65AB522F ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,93"," 0,7", -, -
 Electrolux , EOY5851AOX 944184279 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,79", -, -
 Bosch , HBA64B222F ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,9"," 0,7", -, -
 Zanussi , ZOB35301XK 949716705 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,8", -, -
 Bosch , HBA64B262F ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,9"," 0,7", -, -
 Zanussi , ZOA35502XD 949716900 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,81", -, -
 Electrolux , EOB3400AOX 949716231 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,81", -, -
 Bosch , HBA64B252F ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,9"," 0,7", -, -
 Faure , FOP38903BA 949718318 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,93"," 0,85", -, -
 Faure , FOP38903WA 949718317 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,93"," 0,85", -, -
 Bosch , HBG36T650 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,79"," 0,68", -, -
