Type,Title,eclrow5,Content6,Image
 SAMUS , WSL-6100 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 74,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Candy , EXCSS 139TWME-11 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 49,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 ALBALUX , AXGIW147A+++ ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 52,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 FAGOR , FLF1214BiW ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 63,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 De'Longhi , D1015WM20 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 59,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Beko , WMP 11744 XWR 7164142400 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 70,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Electrolux , EW6S3624BX 914340341 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 65,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Beko , WTV8746XDOS1 7158448200 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 47,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Beko , WTE10736HT 7178844200 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 59,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Beko , WTE10744XDOS1 7161144300 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 59,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 HOTPOINT/ARISTON , RSSG 724 JD IT N ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 59,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Beko , WTK74151W 8781783200 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 69,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 BAUKNECHT , WAT Platinum 781 N ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 78,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 INDESIT , BWA71252WFR N ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 78,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Samsung , WW90T654DLE ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 49,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 HISENSE , W80141GEVM ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 49,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 HISENSE , W90141GEVM ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 57,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Candy , CBW 48D2XCE-80 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 63,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 SVAN , SVL6212B ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 65,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 ALBALUX , AXW148A+++ ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 83,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 GRUNDIG , GW7P5941089M 7175746800 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 34,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
