Type,Title,eclrow,Content,eclrow3,Content4,Image
 DEFRO Spółka z ograniczoną odpowiedzialnością Spółka komandytowa  , EPSILON 20 ,Rated heat output, 20,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 JOLLY MEC , J30 ,Rated heat output, 28,Energy efficiency index (EEI), 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 JOLLY MEC , J25 ,Rated heat output, 23,Energy efficiency index (EEI), 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 JOLLY MEC , J35 ,Rated heat output, 31,Energy efficiency index (EEI), 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Schmid AG energy solutions , Novatronic XV 35/30 ,Rated heat output, 30,Energy efficiency index (EEI), 117,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 JOLLY MEC , J20 ,Rated heat output, 19,Energy efficiency index (EEI), 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 IBC Heiztechnik ," GK-4K öko 28,5 KW ",Rated heat output, 29,Energy efficiency index (EEI), 114,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MPM Projekt , MPM DS Wood 18 kW ,Rated heat output, 18,Energy efficiency index (EEI), 114,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 HDG Bavaria GmbH , HDG Compact 30 ,Rated heat output, 30,Energy efficiency index (EEI), 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 HDG Bavaria GmbH , HDG Compact 30E ,Rated heat output, 30,Energy efficiency index (EEI), 118,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Värmebaronen , Vedolux 32 (2203) ,Rated heat output, 31,Energy efficiency index (EEI), 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 THERMOROSSI S.P.A. , COMPACT S18 EVO ,Rated heat output, 17,Energy efficiency index (EEI), 114,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Ravelli , HR Wood 350 ,Rated heat output, 31,Energy efficiency index (EEI), 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Ravelli , HR Wood 250 ,Rated heat output, 24,Energy efficiency index (EEI), 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Classicfire Typ CF1 20 ,Rated heat output, 20,Energy efficiency index (EEI), 117,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Combifire Typ CF1.5 18 ,Rated heat output, 18,Energy efficiency index (EEI), 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Combifire Typ CF2 18 ,Rated heat output, 18,Energy efficiency index (EEI), 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Classicfire Typ CF1.5 18 ,Rated heat output, 18,Energy efficiency index (EEI), 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Classicfire Typ CF2 18 ,Rated heat output, 18,Energy efficiency index (EEI), 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Classicfire Typ CF1 15 ,Rated heat output, 15,Energy efficiency index (EEI), 117,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
  WALTIS Peletka 25 CS , Heating boiler ,Rated heat output, 24,Energy efficiency index (EEI), 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 ETA Heiztechnik , ePE-BW-22 ,Rated heat output, 22,Energy efficiency index (EEI), 132,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
" SE ""Krasyliv aggregate plant"" ", АКТВ-10         (KORDI-10S) ,Rated heat output, 10,Energy efficiency index (EEI), 109,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
