,Type,Brand,Model,Type_consumption,Label,Other,Consumption
4110,Water heaters, ARISTON , NUOS EVO A+ 80 WH 3629056 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, M,0.8022311541300959
4111,Water heaters, CLIVET , SWAN 300 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, XL,1.6572298325722983
4114,Water heaters, MAXA , CALIDO-D 200 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.2461839530332681
4216,Water heaters, Itho Daalderop ," 03-00354 W/W Warmtepompmodule 4,5 kW individuele bron + 03-00456 WPV 150 ",Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, XL,1.21765601217656
4224,Water heaters, CLIMER , EF04 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, XL,1.715677321156773
4271,Water heaters, CLIMER , EH260SB ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, XL,1.8812785388127853
4273,Water heaters, MITSUBISHI HEAVY INDUSTRIES , ESA30E-25 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, XXL,1.90186799501868
4276,Water heaters, THERMOR , 276011 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.2634050880626224
4277,Water heaters, THERMOR , 266002 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, M,0.7562956279222378
4278,Water heaters, CLIMER , EH115 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, M,0.8563694528750717
4281,Water heaters, CLIMER , EH200H4 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, XL,1.870319634703196
4282,Water heaters, CLIMER , EH200H6PLUSRF ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, XL,1.8143074581430747
4283,Water heaters, CLIMER , EH160RF ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.5029354207436398
4284,Water heaters, CLIMER , EH200H6PLUS ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, XL,1.8143074581430747
4336,Water heaters, Fröling Heizkessel- und Behälterbau Ges.m.b.H. , BWP 300 - 15706A ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, XL,1.6572298325722983
4337,Water heaters, Chaffoteaux , AQUANEXT OPTI 110 3629047 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, M,0.8694938889344599
4338,Water heaters, CLIMER , EF02TD ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.5279843444227006
4339,Water heaters, CLIMER , EH260S ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, XL,1.8812785388127853
4341,Water heaters, CLIMER , EH160TD ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.540508806262231
4355,Water heaters, SIME , ECOMAXI 160 ErP ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.46692759295499
4369,Water heaters, ATLANTIC , 090780 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, XXL,1.90186799501868
4413,Water heaters, CLIMER , EH200TDS ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.5232876712328767
4414,Water heaters, CLIMER , EH260 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, XL,1.8812785388127853
4429,Water heaters, Vulcano , 7736504008 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.1287671232876713
4430,Water heaters, Junkers , 7736503735 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.4538812785388129
4431,Water heaters, Vulcano , 7736503737 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.4538812785388129
4432,Water heaters, Junkers , 7736504007 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.1287671232876713
4433,Water heaters, Junkers , 7736503740 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.1287671232876713
4434,Water heaters, Vulcano , 7736503724 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.4538812785388129
4435,Water heaters, Junkers , 7736503736 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.4538812785388129
4439,Water heaters, Baxi Spa , 7629720 - BC ACS SPLIT 300 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, XL,1.4782343987823439
4440,Water heaters, Baxi Spa , 7629719 - BC ACS SPLIT 200 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.2180039138943248
4465,Water heaters, ELÍZ , EURO 120 TCA+ ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, M,0.9039455335903536
4473,Water heaters, CLIMER , EH200TD ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.5232876712328767
4474,Water heaters, Daikin , EKHH2E260AAV33 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, XL,1.610958904109589
4475,Water heaters, ATLANTIC , 234515 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.3651663405088061
4476,Water heaters, ATLANTIC , 234510 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, M,0.7792633910261669
4477,Water heaters, THERMOR , 296115 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.3651663405088061
4478,Water heaters, Vulcano , 7736503741 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.1287671232876713
4480,Water heaters, ATLANTIC , 876188 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.2634050880626224
4481,Water heaters, ATLANTIC , 866015 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, M,0.7562956279222378
4484,Water heaters, MAXA , CALIDO-D 300 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.928767123287671
4487,Water heaters, MAXA , Calido 200 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.2461839530332681
4488,Water heaters, GREE , GRS-1.5/TD200ANbA-K ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.6829745596868884
4490,Water heaters, GREE , GRS-1.5/TD150ANbA-K ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.5420743639921723
4492,Water heaters, MAXA , CALIDO-S 300 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.928767123287671
4493,Water heaters, MAXA , Calido 110 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, M,0.7579361824296612
4494,Water heaters, MAXA , Calido 300 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.928767123287671
4495,Water heaters, MAXA , CALIDO-S 200 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.2461839530332681
4500,Water heaters, CLIMER , EF02 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.5185909980430528
4501,Water heaters, CLIMER , EH500TD ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, XXL,2.129016189290162
4502,Water heaters, THERMOR , 296162 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.1538160469667318
4504,Water heaters, CLIMER , EH260TDS ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, XL,1.8751902587519025
4506,Water heaters, ATLANTIC , 350103 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, M,0.6693462390287918
4507,Water heaters, ATLANTIC , 350104 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.0082191780821919
4508,Water heaters, ATLANTIC , 350102 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.1397260273972603
4509,Water heaters, ATLANTIC , 350101 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, M,0.7415306373554261
4515,Water heaters, CLIMER , EH160 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.5029354207436398
4516,Water heaters, CLIMER , EH200 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.4951076320939334
